Pattern String,classification,Pattern Type
Ends in 07:42:09,0.0,Countdown Timer
Ends in 07:37:10,0.0,Countdown Timer
Ends in 02:27:10,0.0,Countdown Timer
Ends in 04:17:10,0.0,Countdown Timer
Ends in 01:57:10,0.0,Countdown Timer
Ends in 02:32:10,0.0,Countdown Timer
Ends in 05:22:10,0.0,Countdown Timer
Ends in 01:17:09,0.0,Countdown Timer
"Limited-time deal: Up to 80% off, select top reads on Kindle",0.0,Limited-time Message
Ends in 57:09,0.0,Countdown Timer
Ends in 47:09,0.0,Countdown Timer
Only 16 left in stock - order soon.,0.0,Low-stock Message
Only 8 left in stock - order soon.,0.0,Low-stock Message
Only 15 left in stock - order soon.,0.0,Low-stock Message
"17,133 sold",0.0,Activity Notification
89 sold,0.0,Activity Notification
594 sold,0.0,Activity Notification
"1,214 sold",0.0,Activity Notification
104 sold,0.0,Activity Notification
"2,862 sold",0.0,Activity Notification
"6,944 sold",0.0,Activity Notification
161 sold,0.0,Activity Notification
97 sold,0.0,Activity Notification
574 sold,0.0,Activity Notification
"3,715 sold",0.0,Activity Notification
54 sold,0.0,Activity Notification
76 sold,0.0,Activity Notification
"4,495 sold",0.0,Activity Notification
441 sold,0.0,Activity Notification
251 sold,0.0,Activity Notification
203 sold,0.0,Activity Notification
53 sold,0.0,Activity Notification
497 sold,0.0,Activity Notification
"1,028 sold",0.0,Activity Notification
52 sold,0.0,Activity Notification
308 sold,0.0,Activity Notification
22 watching,0.0,Activity Notification
396 sold,0.0,Activity Notification
28 sold,0.0,Activity Notification
487 sold,0.0,Activity Notification
8 watching,0.0,Activity Notification
51 sold,0.0,Activity Notification
414 sold,0.0,Activity Notification
184 sold,0.0,Activity Notification
859 sold,0.0,Activity Notification
795 sold,0.0,Activity Notification
73 sold,0.0,Activity Notification
110 sold,0.0,Activity Notification
178 sold,0.0,Activity Notification
"4,316 sold",0.0,Activity Notification
"10,865 sold",0.0,Activity Notification
157 sold,0.0,Activity Notification
10 watching,0.0,Activity Notification
315 sold,0.0,Activity Notification
"7,999 sold",0.0,Activity Notification
467 sold,0.0,Activity Notification
"6,798 sold",0.0,Activity Notification
310 sold,0.0,Activity Notification
5 watching,0.0,Activity Notification
291 sold,0.0,Activity Notification
61 sold,0.0,Activity Notification
171 sold,0.0,Activity Notification
"3,522 sold",0.0,Activity Notification
85 sold,0.0,Activity Notification
"4,303 sold",0.0,Activity Notification
"1,358 sold",0.0,Activity Notification
18 sold,0.0,Activity Notification
17 watching,0.0,Activity Notification
82 sold,0.0,Activity Notification
49 sold,0.0,Activity Notification
687 sold,0.0,Activity Notification
4 watching,0.0,Activity Notification
311 sold,0.0,Activity Notification
645 sold,0.0,Activity Notification
312 sold,0.0,Activity Notification
"1,242 sold",0.0,Activity Notification
1 watching,0.0,Activity Notification
"1,296 sold",0.0,Activity Notification
120 sold,0.0,Activity Notification
"11,632 sold",0.0,Activity Notification
"5,208 sold",0.0,Activity Notification
"1,077 watchers",0.0,Activity Notification
Ends in,0.0,Countdown Timer
88 Sold                22%,0.0,Activity Notification
88 Sold,0.0,Activity Notification
5 Sold                3%,0.0,Activity Notification
5 Sold,0.0,Activity Notification
20 Sold                10%,0.0,Activity Notification
20 Sold,0.0,Activity Notification
10 Sold                5%,0.0,Activity Notification
10 Sold,0.0,Activity Notification
3 Sold                2%,0.0,Activity Notification
3 Sold,0.0,Activity Notification
68 Sold                34%,0.0,Activity Notification
68 Sold,0.0,Activity Notification
46 Sold                23%,0.0,Activity Notification
46 Sold,0.0,Activity Notification
21 Sold                11%,0.0,Activity Notification
21 Sold,0.0,Activity Notification
16 Sold                8%,0.0,Activity Notification
16 Sold,0.0,Activity Notification
11 Sold                6%,0.0,Activity Notification
11 Sold,0.0,Activity Notification
47 Sold                24%,0.0,Activity Notification
47 Sold,0.0,Activity Notification
36 Sold                18%,0.0,Activity Notification
36 Sold,0.0,Activity Notification
88 Sold                44%,0.0,Activity Notification
"1,000+ bought this",0.0,Activity Notification
"100,000+ bought this",0.0,Activity Notification
Almost Gone!,0.0,Limited-time Message
"10,000+ bought this",0.0,Activity Notification
100+ bought this,0.0,Activity Notification
"5,000+ bought this",0.0,Activity Notification
"20,000+ bought this",0.0,Activity Notification
"50,000+ bought this",0.0,Activity Notification
50+ bought this,0.0,Activity Notification
Sell Fast,0.0,High-demand Message